基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,00,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
76,金钱豹,$L:npc_76$,1,3,,77,1,1,,100,3,,,,0,,,,78,120,0,6,7,29,20,,,"1143,1",,29;29;29;29;29,60,120,3,70,12,1400,0.5,1,4506,0;0;0,"0,0",6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,55,,,,,,2,,,,,,,,
77,男山民,$L:npc_77$,1,3,,78,1,,,100,12,,,,0,,,,293,120,0,27,15,276,20,,,,,276;276;276;276;276,60,120,3,115,19,2400,0.5,1,501;301;,0.05;0;0;,"-1,1;-2,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,195;-1110;1,,,,,80,,,,,,,,,,,,,,
78,强悍的山民,$L:npc_78$,1,3,,79,1,,,100,13,,,,0,,,,320,120,0,29,16,293,20,,,,,293;293;293;293;293,60,120,3,120,20,2400,0.5,1,301;601,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,50;-1010;1,,,,,81;83;,,,,,,,,,,,,,,
79,黑神守卫,$L:npc_79$,1,3,,80,1,,,100,18,,,,0,,,,332,120,0,41,21,374,1148,,,,,374;374;374;374;374,200,120,3,145,24,3000,0.5,1,601;,0.1;0;0;,"2,4;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,,,88;-845;1,,,,,93;,,,,,,,,,,,,,,
80,男山民,$L:npc_80$,1,3,,81,1,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,1,401;701,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
81,女山民,$L:npc_81$,1,3,,82,1,,,100,12,,,,0,,,,293,120,0,27,15,276,20,,,,,276;276;276;276;276,60,120,3,115,19,2400,0.5,1,501;301;,0.05;0;0;,"-1,1;-2,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
82,女山民,$L:npc_82$,1,3,,83,1,,,100,13,,,,0,,,,320,120,0,29,16,293,20,,,,,293;293;293;293;293,60,120,3,120,20,2400,0.5,1,301;601,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
83,女山民,$L:npc_83$,1,3,,84,1,,,100,14,,,,0,,,,349,120,0,31,17,309,20,,,,,309;309;309;309;309,60,120,3,125,21,2600,0.5,1,601;401;,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
84,女山民,$L:npc_84$,1,3,,85,1,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,1,401;701,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
85,幼年野骡,$L:npc_85$,1,3,,86,1,2,,100,14,,,,0,,,,349,120,0,31,17,309,20,,,"1145,1",,309;309;309;309;309,60,120,3,125,21,2600,0.5,1,601;401;,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,280;-980;1,,,,,82;84;,,,,,,2,,,,,,,,
86,壮年野骡,$L:npc_86$,1,3,,87,1,1,,100,18,,,,0,,,,474,120,0,41,21,374,20,,,"1143,1",,374;374;374;374;374,60,120,3,145,24,3000,0.5,1,201;,0.1;0;0;,"-1,1;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,,,210;-860;1,,,,,91;92;46;472,,,,,,2,,,1,,,,,
87,野骡王,$L:npc_87$,1,3,,88,1,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,1,4008;,0.25;0;0;,"-2,0;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,2,,,,,,,,,,,,,,,,1,,1,,,
88,小金猱,$L:npc_88$,1,3,,133,1,3,,100,16,,,,0,,,,409,120,0,36,19,341,20,,,"1144,1",,341;341;341;341;341,60,120,3,135,23,2800,0.5,1,501;701;,0.05;0;0;,"2,4;-1,1;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,,,-204;-970;1,,,,,87;100,,,,,,2,,,1,,,,,
89,金猱,$L:npc_89$,1,3,,89,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,1,502;,0.05;0;0;,"-2,0;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,,,-152;-863;1,talk;task,,96;98;,96;98;,,,,,,,,,,1,,,,,
90,绿袍老祖分身,$L:npc_90$,1,3,,90,1,,,100,24,,10,2.1,1,,,,7022,120,0,120,26,471,20,,,,,471;471;471;471;471,60,120,3,1750,292,54000,1,2,4010;,0.2;0;0;,"0,0;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,2,,-204;-552;1,,,,,170,,,,,,,,,1,1,,,,
91,智通,$L:npc_91$,1,3,,91,1,,,100,32,,10,3,1,,,,11069,120,0,252,33,601,20,,"1129,0.1;1130,0.1",,,601;601;601;601;601,60,120,3,2150,358,66000,1,2,,0.1;0;0;,,6023,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,1,,,,,
92,法元,$L:npc_92$,1,3,,92,1,,,100,32,,10,3,1,,,,11069,120,0,252,33,601,20,,"1131,0.1;1132,0.1",,,601;601;601;601;601,60,120,3,2150,358,66000,1,2,,0.1;0;0;,,6023,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,1,,,,,
93,小妖道何兴,$L:npc_93$,1,3,,93,1,,,100,14,,3,2,1,,,,1046,120,0,62,17,309,20,,"1136,0.1",,,309;309;309;309;309,60,120,3,375,63,11700,1,2,601;401;,0.25;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,2,,24;-884;1,,talk/npc_talk_93.xml,,,83;,,,,,,,,,1,,1,,,
95,山酋黑神,$L:npc_95$,1,3,,95,1,,,100,18,,3,2,1,,,,1422,120,0,81,21,374,1149,,"1139,0.1;1140,0.1",,,374;374;374;374;374,60,120,3,435,73,13500,1,2,2201;,0.25;0;0;,"0,0;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,2,,92;-875;1,,talk/npc_talk_95.xml,,,93,,,,,,,,,1,,1,,,
96,张老四,$L:npc_96$,1,3,,96,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,60,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,-108;-379;1,talk;task,talk/npc_talk_96.xml,165;190,165;166;189;660;,,,,,,,,,,,,1,,,
97,举子宋时,$L:npc_97$,1,3,,97,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,81;-393;1,talk;task,talk/npc_talk_97.xml,163,,,,,,,,,,,,,1,,,
98,举子周云从,$L:npc_98$,1,3,,98,0,,,100,37,,3.5,1,0,,,,5121,1707,0,107,38,683,20,,,,,683;683;683;683;683,60,50,3,36,6,700,0.5,,,0.1;0;0;,,6024,0;0;0;0;0;0;0;,"0,0;",0.3,,,-112;-379;1,talk;task,talk/npc_talk_98.xml,166,,166,,,,,,,,,,,1,,,
99,孙南,$L:npc_99$,1,3,,99,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,23,4,500,0.5,,,0.1;0;0;,,,,,,,,-268;-482;1,talk;task,talk/npc_talk_99.xml,167;168;169;170;171;275;661;665,167;168;169;170;171;179;190;525;275;661,,,,,,,,,,,,1,,,
100,伙计,$L:npc_100$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,14,2,300,0.5,,,,,,,,,,,88;-393;1,talk;task,talk/npc_talk_100.xml,,188,,,,,,,,,,,,1,,,
102,成都乡绅,$L:npc_102$,1,3,,110,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,152;-492;1,talk;shop;task,talk/npc_talk_102.xml,128;157;525,128;156;1664;958,,,,,,,,1,,,,1,,,
103,女侠石玉珠,$L:npc_103$,1,3,,111,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,0.1;0;0;,,,,,,,,-400;-383;1,talk;task,talk/npc_talk_103.xml,,178,,,,,,,,,,,,1,,,
104,齐灵云,$L:npc_104$,1,3,,112,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_104.xml,19;20;24,17;23,,,,,,,,,,,,1,,,
105,朱文,$L:npc_105$,1,3,,113,0,,,100,18,,,,0,,,,474,120,0,41,21,374,20,,,,,374;374;374;374;374,60,120,3,145,24,3000,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_105.xml,,,,,,,,,,,,,,1,,,
106,宝箱,$L:npc_106$,1,3,,114,0,,,100,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,,,0.05;0;0;,,,,,,,,,,,,,,,,,,,,,,,,1,,,
107,柴草堆,$L:npc_107$,1,3,,115,0,,,100,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,,,0.05;0;0;,,,,,,,,-449;-326;1,task,talk/npc_talk_107.xml,,176;,,,,,,,,,,,,1,,,
108,掌柜,$L:npc_108$,1,3,,4601,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,128;538;1,talk;auction;task,talk/npc_talk_108.xml,522;523;524,5;15;522;523;524,,,,,,,,,,,,1,,,
109,铁匠,$L:npc_109$,1,3,,117,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,174;515;1,talk;shop;identify;smithing;life_skill;task;,talk/npc_talk_109.xml,1790;1791,1790;1791,,,12;15;,,,,,1,,,,1,,,
110,幽冥判官,$L:npc_110$,1,3,,118,0,,,100,50,,,,0,,,,2749,120,0,182,50,894,20,,,,,894;894;894;894;894,60,120,3,305,51,6200,0.5,,,0.1;0;0;,,,,,,,,,,talk/npc_talk_110.xml,,,,,,,,,,,,,,1,,,
111,周淳,$L:npc_111$,1,3,,119,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,0.1;0;0;,,,,,,,,339;-723;1,talk;task,talk/npc_talk_111.xml,158;159;160;162;188,157;158;159;162;161;1665,,,,,,,,,,,,1,,,
112,髯仙李元化,$L:npc_112$,1,3,,120,0,,,100,30,,,,0,,,,983,120,0,76,32,569,20,,,,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_112.xml,,,,,,,,,,,,,,1,,,
113,知客了一,$L:npc_113$,1,3,,100,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,-443;-456;1,talk;task,talk/npc_talk_113.xml,177;178;179;181;183;184;185;664;187;176;663;662;130,177;181;183;184;185;187;664;663;662;960;130,,,,,,,,,,,,1,,,
114,山民卫士,$L:npc_114$,1,3,,122,0,,,100,18,,,,0,,,,474,120,0,41,21,374,20,,,,,374;374;374;374;374,60,120,3,145,24,3000,0.5,,,0.1;0;0;,,6010,0;0;0;0;0;0;0;,"0,0;",0.3,,,29;-966;1,talk;task,talk/npc_talk_114.xml,81;100,81;100,,,,,,,,,,,,1,,,
115,胆小的山民,$L:npc_115$,1,3,,123,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,5;-970;1,talk;task,talk/npc_talk_115.xml,84;86,84;86,,,,,,,,,,,,,,,
116,山民长老,$L:npc_116$,1,3,,124,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,0.1;0;0;,,,,,,,,-1;-954;1,talk;task,talk/npc_talk_116.xml,82;83;90;92;93;94,82;83;90;92;93;94,,,,,,,,,,,,,,,
117,蟒蛇,$L:npc_117$,1,3,,132,1,2,,100,11,,,,0,,,,268,100,0,25,14,260,20,,,"1145,1",,260;260;260;260;260,60,120,3,110,18,2200,0.5,1,200;,0.05;0;0;,"1,3;",,,,,,,-24;-1266;1,,,,,78;,,,,,,2,,,,,,,,
118,黄狼,$L:npc_118$,1,3,,131,1,1,,100,3,,,,0,,,,78,30,0,6,7,29,20,,,"1143,1",,29;29;29;29;29,60,120,3,70,12,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,196;198;,,,,,,2,,,,,,,,
119,猛鬼,$L:npc_119$,1,3,,125,1,2,,100,4,,,,0,,,,95,228,0,8,8,49,20,,,"1145,1",``,49;49;49;49;49,60,120,3,75,13,1600,0.5,1,300;600;,0;0;0;,"-1,1;-2,0;",6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,56;197;,,,,,,2,,,,,,,,
120,怨灵,$L:npc_120$,1,3,,126,1,1,,100,5,,,,0,,,,114,240,0,10,9,72,20,,,"1143,1",,72;72;72;72;72,60,120,3,80,13,1600,0.5,1,600;400;700;,0.05;0;0;,"0,1;0,1;-1,0;",6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,2,,,,,,,,
121,武僧金钢,$L:npc_121$,1,3,,127,1,,,100,29,,,,0,,,,932,312,0,73,31,553,20,,,,,553;553;553;553;553,60,120,3,200,33,4000,0.5,1,702;,0.1;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,,,-310;-310;1,,,,,181;885;1773,,,,,,,,,,,,,,
122,毛太替身,$L:npc_122$,1,3,,128,1,,,100,24,,10,2.1,1,,,,7022,312,0,120,26,471,20,,,,,471;471;471;471;471,60,120,3,1750,292,54000,1,2,4010;,0.2;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,2,,-275;-621;1,,,,,174;813;516,,,,,,,,,,,,,,
123,俞德,$L:npc_123$,1,3,,129,1,,,100,28,,10,2.1,1,,,,8832,312,0,146,30,536,20,,,,,536;536;536;536;536,60,120,3,1950,325,60000,1,2,4005;,0.2;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,2,,-400;-391;1,,,,,178;808;,,,,,,,,,,,,,,
124,慈云僧兵,$L:npc_124$,1,3,,130,1,,,100,23,,,,0,,,,661,312,0,54,25,455,20,,,,,455;455;455;455;455,60,120,3,170,28,3400,0.5,1,702;,0.1;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,,,-248;-521;1,,,,,129;175;458,,,,,,,,,,,,,,
125,强盗悍匪,$L:npc_125$,1,3,,20,1,,,100,9,,,,0,,,,213,300,0,19,13,202,20,,,,,202;202;202;202;202,60,120,3,100,17,2000,0.5,1,300;400;500;,0.05;0;0;,"3,5;1,2;4,6;",6008,0;0;0;0;0;0;0;,"0,0;",0.3,,,125;180;1,,,,,4,,,,,,,,,,,1,,,
126,强盗头子,$L:npc_126$,1,3,,22,1,,,100,10,,1,1,0,,,,243,264,0,23,14,244,1118,,,,,244;244;244;244;244,300,120,3,105,18,3300,1,2,200;,0.1;0;0;,"0,0;",6008,0;0;0;0;0;0;0;,"0,0;",0.3,2,,216;186;1,,,,,15;801,,,,,,,,,,,1,,,
127,村民,$L:npc_127$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,2000,0.5,,,,,,,,,,,111;539;1,talk;task,talk/npc_talk_127.xml,11;938;972,2;24;45;508;560;606;974,,,,,,,,,,,,1,,,
128,药师,$L:npc_128$,1,3,,49,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,169;535;1,talk;shop;life_skill;task;,talk/npc_talk_128.xml,513,513,,,11;14;,,,,,1,,,,1,,,
129,张瑶青,$L:npc_129$,1,3,,44,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,312;-343;1,talk;task,talk/npc_talk_129.xml,469;,47;469;,,,,,,,,,,,,1,,,
130,张琪,$L:npc_130$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,312;-346;1,talk;task,talk/npc_talk_130.xml,151;152;153;155;958,151;152;153;971,,,,,,,,,,,,1,,,
131,道童,$L:npc_131$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,123;-700;1,talk;task,talk/npc_talk_131.xml,161;,160;,,,,,,,,,,,,,,,
132,少年周云从,$L:npc_132$,1,3,,98,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,-29;-1307;1,talk;task,talk/npc_talk_132.xml,77;78;,77;78;,,,,,,,,,,,,1,,,
133,老金猱,$L:npc_133$,1,3,,89,1,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,,,6010,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,talk/npc_talk_133.xml,,,,,,,,,,,,,,,,,
134,小三子,$L:npc_134$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,talk/npc_talk_134.xml,,,,,,,,,,,,,,,,,
135,宝箱,$L:npc_135$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,212;182;1,,,,,5,,,,,,,,,,,,,,
136,宝箱,$L:npc_136$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,宝箱,$L:npc_137$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,宝箱,$L:npc_138$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,宝箱,$L:npc_139$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,宝箱,$L:npc_140$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,宝箱,$L:npc_141$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,1,,,
142,柴草堆,$L:npc_142$,2,3,,115,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,通灵白兔,$L:npc_143$,1,3,,19,0,,,100,1,,,,0,,,,49,10,0,4,5,0,20,,,,,0;0;0;0;0,60,40,3,60,10,1200,0.5,,,,,,,,,,,,task;,talk/npc_talk_143.xml,,19,,,,,,,,,,,,,,,
144,精英丛林蟒蛇,$L:npc_144$,1,3,,1,1,,,100,15,,2,2,1,,,,756,252,0,67,18,325,20,,,,,325;325;325;325;325,60,150,3,260,43,5200,0.5,4,2002;2900;,1;0;0;,"0,0;0,2;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,-172;-208;1,,,,,,,,,,,,,,,,,,,
145,毒蘑菇,$L:npc_145$,1,3,,17,1,,,100,15,,,,0,,,,378,126,0,33,18,325,1104,,,,,325;325;325;325;325,300,150,3,130,22,2600,0.5,4,2501;,1;0;0;,"1,2;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,-172;-208;1,,,,,,,,,,,,,,,,,,,
146,精英丛林王蛇,$L:npc_146$,1,3,,2,1,,,100,16,,2,2,1,,,,817,272,0,71,19,341,20,,"1100,0.1",,,341;341;341;341;341,60,150,3,270,45,5600,0.5,4,2301;,1;0;0;,"1,2;",,,,,,,-172;-208;1,,,,,114;456;476,,,,,,,,,,,,,,
147,精英蛇首杂役,$L:npc_147$,1,3,,3,1,,,100,16,,2,2,1,,,,817,272,0,71,19,341,20,,,,,341;341;341;341;341,60,150,3,270,45,5600,0.5,4,2501;,1;0;0;,"2,3;",,,,,,,-172;-208;1,,,,,114;456;476,,,,,,,,,,,,,,
148,精英蛇首捕头,$L:npc_148$,1,3,,4,1,,,100,16,,2,2,1,,,,817,272,0,71,19,341,20,,,,,341;341;341;341;341,60,150,3,270,45,5600,0.5,4,2601;,1;0;0;,"0,2;",,,,,,,-172;-208;1,,,,,114;456;476,,,,,,,,,,,,,,
149,精英蛇匪头目,$L:npc_149$,1,3,,5,1,,,100,17,,2,2,1,,,,881,294,0,76,20,358,1101,,,,,358;358;358;358;358,300,150,3,280,47,5600,0.5,4,2003;2401;,1;0;0;,"0,0;0,2;",,,,,,,-172;-208;1,,,,,114;456;476;1765,,,,,,,,,,,,,,
150,精英鬼火,$L:npc_150$,1,3,,8,1,,,100,17,,2,2,1,,,,881,294,0,76,20,358,1103,,,,,358;358;358;358;358,300,150,3,280,47,5600,0.5,4,2701;,1;0;0;,"0,1;",,,,,,,-172;-208;1,,,,,,,,,,,,,,,,,,,
151,精英噬血魂,$L:npc_151$,1,3,,9,1,,,100,18,,2,2,1,,,,948,316,0,81,21,374,1114,,,,,374;374;374;374;374,300,150,3,290,48,6000,0.5,4,2801;,1;0;0;,"-1,1;",,,,,,,-172;-208;1,,,,,,,,,,,,,,,,,,,
152,精英恶鬼,$L:npc_152$,1,3,,11,1,,,100,18,,2,2,1,,,,948,316,0,81,21,374,20,,,,,374;374;374;374;374,60,150,3,290,48,6000,0.5,4,2201;,1;0;0;,"-1,1;",,,,,,,-172;-208;1,,,,,,,,,,,,,,,,,,,
153,精英鬼怪队长,$L:npc_153$,1,3,,11,1,,,100,19,,2,2,1,,,,1017,339,0,86,22,390,20,,,,,390;390;390;390;390,60,150,3,300,50,6000,0.5,4,2901;,1;0;0;,"-1,1;",,,,,,,-172;-208;1,,,,,,,,,,,,,,,,,,,
154,精英金角蟒蛇,$L:npc_154$,1,3,,29,1,,,100,19,,2,2,1,,,,1017,339,0,86,22,390,20,,,,,390;390;390;390;390,60,150,3,300,50,6000,0.5,4,2201;,1;0;0;,"-1,1;",,,,,,,-172;-208;1,,,,,114;456;476;1765,,,,,,,,,,,,,,
155,精英蛇首校尉,$L:npc_155$,1,3,,5,1,,,100,20,,2,2,1,,,,1089,363,0,92,23,406,1101,,,,,406;406;406;406;406,300,150,3,310,52,6400,0.5,4,2004;,1;0;0;,"0,0;",,,,,,,-172;-208;1,,,,,114;456;476;1765,,,,,,,,,,,1,,,
156,双头蛇怪,$L:npc_156$,1,3,,134,1,,,600,16,,15,2,1,,2;3;4,,6130,2043,0,464,19,341,20,,,,,341;341;341;341;341,60,150,3,2025,338,105000,1,5,3003;3301;,1;0;0;,"0,0;2,4;",6010,0;0;0;0;0;0;0;,"0,0;",0.3,3,,-172;-208;1,,,,,113;456;476;876,,,,,,,,,,,1,,,
157,鬼风妖道,$L:npc_157$,1,3,,37,0,,,600,19,,15,0.7,1,,2;3;4,,7628,2543,0,209,22,390,20,,"1107,1;1108,1",,,390;390;390;390;390,60,150,3,2250,375,112500,1,6,3201;502;602;702;,1;0;0;,"0,1;0,0;0,0;0,0;",,,,,3,,-172;-208;1,talk;task,,,,120;476;803,,,,,,,,,,,,,,
158,蛇妖化身,$L:npc_158$,1,3,,135,0,,,600,17,,15,0.5,1,,2;3;4,,6610,2203,0,126,20,358,20,,"1112,1;1113,1",,,358;358;358;358;358,60,150,3,2100,350,105000,1,6,3201;902,1;0;0;,"-1,0;0,0;",,,,,3,,-172;-208;1,talk,,,,115;456;476;1766,,,,,,,,,,,,,,
159,蛇妖元神,$L:npc_159$,1,3,,136,1,,,600,20,,15,0.5,1,0.5;,2;3;4,,8168,2723,0,162,23,406,20,,"1112,1;1113,1",,,406;406;406;406;406,60,150,3,2325,388,120000,1,6,3901;3005;502;602;702;902,1;0;0;,"0,0;0,0;0,0;0,0;0,0;0,0;",,,,,3,,-172;-208;1,,,,,300;121;476;510;527;885;1766,,,,,,,,,,,1,,,
160,新鲜的蘑菇,$L:npc_160$,2,3,,174,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,000,0,,,0.1;0;0;,,,,,,,,,,,,,1;193,,,,,,,,,,,1,,,
161,唯清,$L:npc_161$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_161.xml,,,,,,,,,,,,,,1,,,
162,兔子商贩,$L:npc_162$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,2000,0.5,,,,,,,,,,,,,talk/npc_talk_162.xml,,,,,,,,,,,,,,1,,,
