,,基础属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,释放过程（针对主动技能）,,,,,,,,,,,,,,,,,,,,,,,,,,特效表现,,,客户端表现,,,
2406,保养丹(强效),2406,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddMaxHp(1000);AddStr(30);AddDex(30);AddWis(30);AddCon(30);AddSpeedRate(0.1);,,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6242,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,PK王者奖励（青城）,2410,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0),,,,EffParam2*24*3600*1000,1,,,,,,,,,,,,,eff_killer_qc,,,ic_killer_qc,,,1
2411,PK王者奖励（佛门）,2411,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0),,,,EffParam2*24*3600*1000,1,,,,,,,,,,,,,eff_killer_fm,,,ic_killer_fm,,,1
2412,PK王者奖励（峨眉）,2412,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0),,,,EffParam2*24*3600*1000,1,,,,,,,,,,,,,eff_killer_em,,,ic_killer_em,,,1
2413,PK王者奖励（百花）,2413,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0),,,,EffParam2*24*3600*1000,1,,,,,,,,,,,,,eff_killer_bh,,,ic_killer_bh,,,1
2414,PK王者奖励（仙禽）,2414,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0),,,,EffParam2*24*3600*1000,1,,,,,,,,,,,,,eff_killer_xq,,,ic_killer_xq,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,"Super Wizard Hero 1 (Male)",2700,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7169);AddAtt(1);AddRidable(1);AddMaxHp(500);AddSpeedRate(0.10),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumente_m01,,,1
2701,"Super Monk Hero 1",2701,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7170);AddAtt(1);AddRidable(1);AddMaxHp(500);AddSpeedRate(0.10),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentf_m01,,,1
2702,"Super Fairy Hero 1",2702,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7171);AddAtt(1);AddRidable(1);AddMaxHp(500);AddSpeedRate(0.10),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentb_w01,,,1
2703,"Super Assassin Hero 1",2703,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7172);AddAtt(1);AddRidable(1);AddMaxHp(500);AddSpeedRate(0.10),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentq_m01,,,1
2704,"Super Tamer Hero 1",2704,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7173);AddAtt(1);AddRidable(1);AddMaxHp(500);AddSpeedRate(0.10),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentx_w01,,,1
2705,"Super Wizard Hero 1 (Female)",2705,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7174);AddAtt(1);AddRidable(1);AddMaxHp(500);AddSpeedRate(0.10),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumente_w01,,,1
2706,"Super Wizard Hero 2 (Male)",2706,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7175);AddAtt(1);AddRidable(1);AddMaxHp(750);AddSpeedRate(0.15),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumente_m02,,,1
2707,"Super Monk Hero 2",2707,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7176);AddAtt(1);AddRidable(1);AddMaxHp(750);AddSpeedRate(0.15),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentf_m02,,,1
2708,"Super Fairy Hero 2",2708,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7177);AddAtt(1);AddRidable(1);AddMaxHp(750);AddSpeedRate(0.15),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentb_w02,,,1
2709,"Super Assassin Hero 2",2709,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7178);AddAtt(1);AddRidable(1);AddMaxHp(750);AddSpeedRate(0.15),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentq_m02,,,1
2710,"Super Tamer Hero 2",2710,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7179);AddAtt(1);AddRidable(1);AddMaxHp(750);AddSpeedRate(0.15),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentx_w02,,,1
2711,"Super Wizard Hero 2 (Female)",2711,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7180);AddAtt(1);AddRidable(1);AddMaxHp(750);AddSpeedRate(0.15),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumente_w02,,,1
2712,"Super Wizard Hero 3 (Male)",2712,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7181);AddAtt(1);AddRidable(1);AddMaxHp(1000);AddSpeedRate(0.20),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumente_m03,,,1
2713,"Super Monk Hero 3",2713,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7182);AddAtt(1);AddRidable(1);AddMaxHp(1000);AddSpeedRate(0.20),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentf_m03,,,1
2714,"Super Fairy Hero 3",2714,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7183);AddAtt(1);AddRidable(1);AddMaxHp(1000);AddSpeedRate(0.20),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentb_w03,,,1
2715,"Super Assassin Hero 3",2715,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7184);AddAtt(1);AddRidable(1);AddMaxHp(1000);AddSpeedRate(0.20),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentq_m03,,,1
2716,"Super Tamer Hero 3",2716,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7185);AddAtt(1);AddRidable(1);AddMaxHp(1000);AddSpeedRate(0.20),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumentx_w03,,,1
2717,"Super Wizard Hero 3 (Female)",2717,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(7186);AddAtt(1);AddRidable(1);AddMaxHp(1000);AddSpeedRate(0.20),,,,60*60*1000,1,,,,,,,,,,,,,,,,shumente_w03,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,skill-MP+speed,2718,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2720,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2723,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_pet012,,,0
2719,"skill-HP Reg Both+Hp up",2719,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2722,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1)",,,0,0,15000,,,,,,,,,,,,,,,ic_pet011,,,0
2720,eff-MP+Speed,2720,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet012,,1,0
2721,"eff-Max Hp",2721,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,add_basehp,,1,0
2722,"eff-Hp Reg+speed",2722,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet011,,1,0
2723,AddSpeed,2723,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddSpeedRate(0.20),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,pet_speed,,1,0
2724,ChoDom,2724,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2726,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2725,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_npc075,,,0
2725,Khang,2725,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDodgeRate(0.01);AddDeltaCriticalRate(0,0.01);AddDeltaCriticalRate(1,0.01);AddDeltaCriticalRate(2,0.01);AddDeltaCriticalRate(3,0.01);AddDeltaCriticalRate(4,0.01);AddDeltaCriticalRate(5,0.01)",,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_npc075,,1,0
2726,"Max Hp",2726,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet_hp1,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,"Chim",2727,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2722,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1)",,,0,0,15000,,,,,,,,,,,,,,,ic_mon040_b,,,0
2728,"eff-Hp Reg+speed",2728,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,hp_regen,,1,0
2729,eff-MP+Speed,2720,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,mana_regen,,1,0
2730,Addstr,7,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddStr(200),,,,,1,,,,,,,,,,,,,,,,add_str,,,0
2731,Adddex,7,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddDex(200),,,,,1,,,,,,,,,,,,,,,,add_dex,,,0
2732,Addwis,7,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddWis(200),,,,,1,,,,,,,,,,,,,,,,add_wis,,,0
2733,Addcon,7,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddCon(200),,,,,1,,,,,,,,,,,,,,,,add_con,,,0
2734,"PETMoi",2737,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2731,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,add_dex,,,0
2735,"PETMoi",2737,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2732,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,add_wis,,,0
2736,"PETMoi",2737,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2733,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,add_con,,,0
2737,"PETMoi",2737,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2730,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,add_str,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,爱心天使,2738,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(0.10),,,,EffParam1*24*3600*1000,1,,,,,,,,,,,,,eff_m_tamgi,root,,ic_it6909,,,1
2739,爱心天使,2739,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddSpeedRate(0.20);AddDodgeRate(0.10);AddMaxHpRate(0.10),,,,EffParam1*24*3600*1000,1,,,,,,,,,,,,,eff_m_trung,root,,ic_trungthu,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,Noel,2740,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2742,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.007);AddMasterEffect(2741,SelfLevel);AddMasterEffect(2743,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_npc101,,,0
2741,Khang,2741,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDodgeRate(0.01);AddDeltaCriticalRate(0,0.01);AddDeltaCriticalRate(1,0.01);AddDeltaCriticalRate(2,0.01);AddDeltaCriticalRate(3,0.01);AddDeltaCriticalRate(4,0.01);AddDeltaCriticalRate(5,0.01)",,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_npc101,,1,0
2742,"Max Hp",2742,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,noelhp,,1,0
2743,AddSpeed,2743,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddSpeedRate(0.30),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,pet_speed,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,MasterSpeed,2744,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2745,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,pet_speed,,,0
2745,AddSpeed,2745,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddSpeedRate(0.15),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,pet_speed,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,RedDragon,2746,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2748,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.018);AddMasterEffect(2747,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,petdragon,,,0
2747,Khang,2747,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDodgeRate(0.01);AddDeltaCriticalRate(0,0.01);AddDeltaCriticalRate(1,0.01);AddDeltaCriticalRate(2,0.01);AddDeltaCriticalRate(3,0.01);AddDeltaCriticalRate(4,0.01);AddDeltaCriticalRate(5,0.01);AddSpeedRate(0.20)",,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,pet_speed,,1,0
2748,"Max Hp",2748,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,petdragon,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,NgaMy,2611,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2732,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_pe005,,,0
2612,PhatMon,2612,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2730,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_pf005,,,0
2613,BachHoa,2613,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2732,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_bp005,,,0
2614,ThanhThanh,2614,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2732,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_pq005,,,0
2615,TienCam,2615,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(2721,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.015);AddMasterEffect(2728,2+(SelfLevel+SelfLevel*MasterBaseHp*0.002)/1);AddMasterEffect(2729,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.013);AddMasterEffect(2732,SelfLevel)",,,0,0,15000,,,,,,,,,,,,,,,ic_px005,,,0
